,date_&_time,country,region,category,website,distance,climb,venue,grid_reference,skills,minimum_age,age_info,entry_on_day,pre-entry,pre-entry_fee_(members),pre-entry_fee_(non-members),race_organiser,teams_allowed,male_record,female_record,junior_races,permit_/_insurance,race_url,title,pre-entry_fee,entry_on_day_fee_(members),entry_on_day_fee_(non-members),start_time_info,entry_on_day_fee,date,postcode,latitude,longitude,datetime,month
20,Sun 6 Mar 2022 at 11:00,England,Peak District,BM,http://www.cloudninehillrace.co.uk,14.5 km / 9 miles,381 m / 1250 ft,"Brunswick Wharf, Congleton, CW12 1RG.",SJ865634,"PM, LK",18,,No,Yes,,,Nick Budd,Yes,S Bailey - 00:52:10 - 2010,O Walwyn - 00:58:53 - 2011,No,Yes,https://races.fellrunner.org.uk/races/9caff7a4-3031-4f88-b9e2-4b87e3897a39,Sun 6 Mar 2022 — Cloud Nine,£10.00,,,,,,CW12 1RG,53.167428,-2.202091,2022-03-06 11:00:00,March
21,Sun 6 Mar 2022 at 11:30,England,York. Dales,AS,https://theentrypoint.co.uk/events/ilkley-moor-fell-race-2022-5RAQM4l1n9aPY0D,8 km / 5 miles,401 m / 1316 ft,"Wells Rd, Ilkley, LS29 9RF., LS29 9RF",115470,"ER, PM, LK",16,,Yes,Yes,£8.00,£10.00,Steve Weston,Yes,S Bailey - 00:35:31,E Clayton - 00:42:03,Yes,Yes,https://races.fellrunner.org.uk/races/1fa637c5-74bb-4f68-ae66-8ca1615d581c,Sun 6 Mar 2022 — Ilkley Moor Fell Race,,,,,£20.00,,LS29 9RF,53.91688,-1.821772,2022-03-06 11:30:00,March
22,Sat 12 Mar 2022 at 8:00,England,South/West Pennines,BL,http://www.kcac.co.uk/club-races/haworth-hobble/,51 km / 31.7 miles,1340 m / 4396 ft,"Haworth Primary School, Rawdon Road, Haworth, BD22 8DW.",SE 03143 37265,"ER, LK, NS",18,,No,Yes,£18.00,£22.00,Gary Chapman,Yes,Donald Naylor - 03:46:01 - 2006,Kate Jenkins - 04:27:20 - 2003,No,Yes,https://races.fellrunner.org.uk/races/2bccfce6-7796-4fcf-b9ab-d4536585d6c6,Sat 12 Mar 2022 — Haworth Hobble Ultra Marathon,,,,Early start available from 7am for slower runners.,,,BD22 8DW,53.832037,-1.953867,2022-03-12 08:00:00,March
23,Sat 12 Mar 2022 at 8:00,England,South/West Pennines,BL,http://www.kcac.co.uk/club-races/haworth-hobble/,51 km / 31.7 miles,1340 m / 4396 ft,"Haworth Primary School, Rawdon Road, Haworth, BD22 8DW.",SE 03143 37265,"ER, LK, NS",18,,No,Yes,£18.00,£22.00,Gary Chapman,Yes,Donald Naylor - 03:46:01 - 2006,Kate Jenkins - 04:27:20 - 2003,No,Yes,https://races.fellrunner.org.uk/races/2bccfce6-7796-4fcf-b9ab-d4536585d6c6,Sat 12 Mar 2022 — Haworth Hobble Ultra Marathon,,,,Early start available from 7am for slower runners.,,,BD22 8DW,53.832037,-1.953867,2022-03-12 08:00:00,March
24,Sat 12 Mar 2022 at 8:00,England,South/West Pennines,BL,http://www.kcac.co.uk/club-races/haworth-hobble/,51 km / 31.7 miles,1340 m / 4396 ft,"Haworth Primary School, Rawdon Road, Haworth, BD22 8DW.",SE 03143 37265,"ER, LK, NS",18,,No,Yes,£18.00,£22.00,Gary Chapman,Yes,Donald Naylor - 03:46:01 - 2006,Kate Jenkins - 04:27:20 - 2003,No,Yes,https://races.fellrunner.org.uk/races/2bccfce6-7796-4fcf-b9ab-d4536585d6c6,Sat 12 Mar 2022 — Haworth Hobble Ultra Marathon,,,,Early start available from 7am for slower runners.,,,BD22 8DW,53.832037,-1.953867,2022-03-12 08:00:00,March
25,Sun 11 Sep 2022 at 9:30,England,South/West Pennines,CL,http://www.kcac.co.uk/club-races/yorkshireman/,42.1 km / 26.2 miles,1000 m / 3281 ft,"Haworth Primary School., BD22 8DW",032374,"ER, PM, LK",18,,No,Yes,£18.00,£22.00,Gary Chapman,Yes,G Devine - 03:09:10 - 2009,K Threadgall - 03:46:55 - 2013,No,Yes,https://races.fellrunner.org.uk/races/d709db9d-5d53-4f90-80ac-80f25d800f34,Sun 11 Sep 2022 — Yorkshireman Off Road Marathon,,,,Early starts from 8am available for slower runners.,,,BD22 8DW,53.832037,-1.953867,2022-09-11 09:30:00,September
26,Sun 11 Sep 2022 at 9:30,England,South/West Pennines,CL,http://www.kcac.co.uk/club-races/yorkshireman/,42.1 km / 26.2 miles,1000 m / 3281 ft,"Haworth Primary School., BD22 8DW",032374,"ER, PM, LK",18,,No,Yes,£18.00,£22.00,Gary Chapman,Yes,G Devine - 03:09:10 - 2009,K Threadgall - 03:46:55 - 2013,No,Yes,https://races.fellrunner.org.uk/races/d709db9d-5d53-4f90-80ac-80f25d800f34,Sun 11 Sep 2022 — Yorkshireman Off Road Marathon,,,,Early starts from 8am available for slower runners.,,,BD22 8DW,53.832037,-1.953867,2022-09-11 09:30:00,September
27,Sun 11 Sep 2022 at 9:30,England,South/West Pennines,CL,http://www.kcac.co.uk/club-races/yorkshireman/,42.1 km / 26.2 miles,1000 m / 3281 ft,"Haworth Primary School., BD22 8DW",032374,"ER, PM, LK",18,,No,Yes,£18.00,£22.00,Gary Chapman,Yes,G Devine - 03:09:10 - 2009,K Threadgall - 03:46:55 - 2013,No,Yes,https://races.fellrunner.org.uk/races/d709db9d-5d53-4f90-80ac-80f25d800f34,Sun 11 Sep 2022 — Yorkshireman Off Road Marathon,,,,Early starts from 8am available for slower runners.,,,BD22 8DW,53.832037,-1.953867,2022-09-11 09:30:00,September
28,Sun 11 Sep 2022 at 10:30,England,South/West Pennines,BL,http://www.kcac.co.uk/club-races/yorkshireman/,24 km / 14.9 miles,650 m / 2133 ft,"Haworth Primary School., BD22 8DW",032374,"ER, PM, LK",18,,No,Yes,£18.00,£22.00,Gary Chapman,No,B Mounsey - 01:36:42 - 2009,T Seager - 01:48:40 - 2015,No,Yes,https://races.fellrunner.org.uk/races/6c3b901a-7b8d-4fd6-bc04-91a1346dd9c2,Sun 11 Sep 2022 — Yorkshireman Off Road Half Marathon,,,,,,,BD22 8DW,53.832037,-1.953867,2022-09-11 10:30:00,September
29,Sun 11 Sep 2022 at 10:30,England,South/West Pennines,BL,http://www.kcac.co.uk/club-races/yorkshireman/,24 km / 14.9 miles,650 m / 2133 ft,"Haworth Primary School., BD22 8DW",032374,"ER, PM, LK",18,,No,Yes,£18.00,£22.00,Gary Chapman,No,B Mounsey - 01:36:42 - 2009,T Seager - 01:48:40 - 2015,No,Yes,https://races.fellrunner.org.uk/races/6c3b901a-7b8d-4fd6-bc04-91a1346dd9c2,Sun 11 Sep 2022 — Yorkshireman Off Road Half Marathon,,,,,,,BD22 8DW,53.832037,-1.953867,2022-09-11 10:30:00,September
30,Sun 11 Sep 2022 at 10:30,England,South/West Pennines,BL,http://www.kcac.co.uk/club-races/yorkshireman/,24 km / 14.9 miles,650 m / 2133 ft,"Haworth Primary School., BD22 8DW",032374,"ER, PM, LK",18,,No,Yes,£18.00,£22.00,Gary Chapman,No,B Mounsey - 01:36:42 - 2009,T Seager - 01:48:40 - 2015,No,Yes,https://races.fellrunner.org.uk/races/6c3b901a-7b8d-4fd6-bc04-91a1346dd9c2,Sun 11 Sep 2022 — Yorkshireman Off Road Half Marathon,,,,,,,BD22 8DW,53.832037,-1.953867,2022-09-11 10:30:00,September
31,Sun 13 Mar 2022 at 10:30,England,Northumberland / Durham,AS,http://www.northumberlandfellrunners.co.uk,8 km / 5 miles,400 m / 1312 ft,"Bulbys Wood car park, Ingram, Northumberland, NE66 4HL (nearest)",NU007163,PM,16,,Yes,No,,,Mike Steven,No,P. Sanderson - 00:36:08 - 2011,F. Blackett - 00:40:38 - 2012,No,Yes,https://races.fellrunner.org.uk/races/13def8df-e731-4f7f-9771-116435ff284b,Sun 13 Mar 2022 — Brough Law,,,,,£5.00,,NE66 4HL,55.441278,-1.903365,2022-03-13 10:30:00,March
32,Sun 13 Mar 2022 at 11:00,England,Lake District,AS,http://www.northernfellsrc.org.uk,9 km / 5.6 miles,500 m / 1640 ft,"Calebreck Farm, Hesket Newmarket, Wigton, CA7 8JR, CA7 8JR",NY345358,"ER, LK, NS",16,,Yes,No,,,Natalie Hawkrigg,No,R Lightfoot - 00:37:39 - 2016,H Dent - 00:45:00 - 2016,No,Yes,https://races.fellrunner.org.uk/races/c4328848-ae9a-4f9b-bdd6-85364495954e,Sun 13 Mar 2022 — Carrock Fell,,£4.00,£6.00,,,,CA7 8JR,54.71326,-3.014521,2022-03-13 11:00:00,March
33,Sun 13 Mar 2022 at 11:00,England,Lake District,BM,http://muncaster.fellrace.org.uk,15 km / 9.3 miles,620 m / 2034 ft,"Muncaster Castle car park, CA18 1RD",SD097966,"ER, LK, NS",18,,Yes,Yes,,,John Heneghan,No,J Davies - 01:33:16 - 2016,S Taylor - 01:48:49 - 2016,No,Yes,https://races.fellrunner.org.uk/races/c839eacc-ee4e-4f27-8b95-622a7ece4521,Sun 13 Mar 2022 — Muncaster Luck,£5.00,,,,£6.00,,CA18 1RD,54.357974,-3.387547,2022-03-13 11:00:00,March
34,Sun 13 Mar 2022 at 13:00,England,Lake District,AS,http://www.helmhill.co.uk,6.5 km / 4 miles,663 m / 2175 ft,"Footbridge near Cross Keys Temperance Inn, Cautley, Sedbergh, LA10 5NE, LA10 5NE",SD 698969,PM,17,,Yes,No,,,Rick Stuart,No,,,Yes,Yes,https://races.fellrunner.org.uk/races/0d33593c-b168-4153-ae6c-0d31130aa52b,Sun 13 Mar 2022 — Cautley,,,,"Juniors 12.00pm, seniors 13.00 or after juniors finish",£5.00,,LA10 5NE,54.365366,-2.46834,2022-03-13 13:00:00,March
35,Sun 20 Mar 2022 at 10:00,England,Isle of Man,AS,http://www.manxfellrunners.org,9.5 km / 5.9 miles,570 m / 1870 ft,"Bungalow, TT Course, IOM., IM4 5AF",396867,"ER, LK, NS",16,Also a junior short  race for over 12 juniors running alongside,Yes,Yes,,,Rebecca Griffin,No,,,Yes,Yes,https://races.fellrunner.org.uk/races/c145a630-5342-41fe-8998-59ea0355a0f7,Sun 20 Mar 2022 — Snaefell and the Tholtans,£5.00,,,,£5.00,,IM4 5AF,,,2022-03-20 10:00:00,March
36,Sun 20 Mar 2022 at 11:00,England,North York Moors,AL,http://www.eskvalleyfellclub.org,23 km / 14.3 miles,1300 m / 4265 ft,"Chop Gate Village Hall, Bilsdale., TS9 7JN",SE 559 993,"ER, PM, LK, NS",18,,No,Yes,£8.00,£12.00,Mike Quinn,Yes,N Crampton - 02:15:50 - 2019,K Lliffe - 02:27:50 - 2019,No,Yes,https://races.fellrunner.org.uk/races/5838ae2f-02e2-4faa-a8dc-25d8a08c058c,Sun 20 Mar 2022 — Bilsdale,,,,10 minute walk from registration to start.,,,TS9 7JN,54.38238,-1.129276,2022-03-20 11:00:00,March
37,Sun 20 Mar 2022 at 11:00,England,South/West Pennines,BM,http://www.holmfirthharriers.com,10.3 km / 6.4 miles,260 m / 853 ft,"Marsden Cricket Club, Marsden, HD7 6NN.",046106,PM,18,,Yes,No,,,Philip Hobbs,Yes,S Carey - 00:48:07 - 2010,K Walshaw - 00:52:03 - 2012,No,Yes,https://races.fellrunner.org.uk/races/42c618c4-f563-4f52-be29-92033a88df54,Sun 20 Mar 2022 — Ian Roberts Memorial,,£6.00,£7.00,,,,HD7 6NN,53.594001,-1.935902,2022-03-20 11:00:00,March
38,Sun 20 Mar 2022 at 11:30,England,South/West Pennines,BL,http://www.heptonstallfellrace.wordpress.com,24.8 km / 15.4 miles,966 m / 3169 ft,"St Thomas Heptonstall Church, Church Street, Heptonstall, HX7 7NT  /  Parking; HX7 7EU",SD987282,"ER, PM, LK, NS",18,,No,Yes,,,Stephen Grimley,No,B Mounsey - 01:47:15 - 2015,V Wilkinson - 02:03:59 - 2016,No,Yes,https://races.fellrunner.org.uk/races/f7a3d5a2-8338-4e8c-94b2-60fb68172f8c,Sun 20 Mar 2022 — Heptonstall,£11.00,,,,,,HX7 7NT,53.748972,-2.022224,2022-03-20 11:30:00,March
